Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Okanagan,2023,SibRegLogPower,Age 3,14422,3.5,1258,3946,11142,30652,67175,Columbia River
Okanagan,2023,SibRegLogPower,Age 4,202666,1,77940,122322,182527,267018,372947,Columbia River
Okanagan,2023,SibRegLogPower,Age 5,16833,1.3333333333333333,5838,9487,14966,25146,35730,Columbia River
Okanagan,2023,SibRegLogPower,Total,233921,1,156490,184146,224360,263777,295218,Columbia River
Okanagan,2023,SibRegKalman,Age 3,14422,3.5,1375,3404,11278,32870,73894,Columbia River
Okanagan,2023,SibRegKalman,Age 4,161009,2.1666666666666665,30190,68086,147832,279341,464813,Columbia River
Okanagan,2023,SibRegKalman,Age 5,16737,2.6666666666666665,3879,7784,14321,25462,36518,Columbia River
Okanagan,2023,SibRegKalman,Total,192168,2.9166666666666665,76184,119784,173285,240987,309097,Columbia River
Okanagan,2023,TimeSeriesArimaBC,Age 3,14454,3.5,1915,4345,12029,34500,64331,Columbia River
Okanagan,2023,TimeSeriesArimaBC,Age 4,171643,6.333333333333333,15637,47576,126121,346156,677414,Columbia River
Okanagan,2023,TimeSeriesArimaBC,Age 5,8244,4.666666666666667,1513,3034,7054,15454,25337,Columbia River
Okanagan,2023,TimeSeriesArimaBC,Total,194342,6.083333333333333,47753,92570,185196,313330,468399,Columbia River
Okanagan,2023,TimeSeriesArimaNoBC,Age 3,15323,5.666666666666667,2108,4905,12653,31744,66953,Columbia River
Okanagan,2023,TimeSeriesArimaNoBC,Age 4,169230,5,31304,61832,141596,296125,492949,Columbia River
Okanagan,2023,TimeSeriesArimaNoBC,Age 5,7641,4,1522,3256,6737,13637,22033,Columbia River
Okanagan,2023,TimeSeriesArimaNoBC,Total,192194,5.583333333333333,64407,107466,168160,259258,342876,Columbia River
Okanagan,2023,TimeSeriesExpSmoothBC,Age 3,14898,4.416666666666667,1706,3998,11283,30076,56909,Columbia River
Okanagan,2023,TimeSeriesExpSmoothBC,Age 4,175808,7.5,17973,49977,149429,357472,825873,Columbia River
Okanagan,2023,TimeSeriesExpSmoothBC,Age 5,10496,7.5,1182,3012,8532,21690,46888,Columbia River
Okanagan,2023,TimeSeriesExpSmoothBC,Total,201203,8.083333333333334,43020,94062,175451,324088,494581,Columbia River
Okanagan,2023,TimeSeriesExpSmoothNoBC,Age 3,15552,7.833333333333333,1683,4898,14042,37966,79646,Columbia River
Okanagan,2023,TimeSeriesExpSmoothNoBC,Age 4,175549,5.666666666666667,21104,47400,139627,364375,736780,Columbia River
Okanagan,2023,TimeSeriesExpSmoothNoBC,Age 5,8832,9,1050,2526,6702,17683,36988,Columbia River
Okanagan,2023,TimeSeriesExpSmoothNoBC,Total,199932,4.333333333333333,44327,85035,171264,268292,403319,Columbia River
Okanagan,2024,Naive4,Age 3,17886,2.8333333333333335,1089,3786,13076,43546,101339,Columbia River
Okanagan,2024,Naive4,Age 4,239630,6.833333333333333,35525,86312,199147,465630,793646,Columbia River
Okanagan,2024,Naive4,Age 5,10168,6,1980,4589,9834,17673,30930,Columbia River
Okanagan,2024,Naive4,Total,267684,8.166666666666666,65165,116760,222250,365900,584724,Columbia River
Okanagan,2024,Naive8,Age 3,14229,7.666666666666667,1722,4618,12586,36316,71398,Columbia River
Okanagan,2024,Naive8,Age 4,174624,5.166666666666667,23191,52388,127534,330656,522762,Columbia River
Okanagan,2024,Naive8,Age 5,9800,6.666666666666667,1794,3980,8498,17588,30209,Columbia River
Okanagan,2024,Naive8,Total,198654,4.5,59336,99225,170750,266996,401749,Columbia River
Okanagan,2024,SibRegSimple,Age 3,20200,4,1689,5138,15164,41796,80221,Columbia River
Okanagan,2024,SibRegSimple,Age 4,223218,5,139059,167277,203885,251952,304903,Columbia River
Okanagan,2024,SibRegSimple,Age 5,5238,2.6666666666666665,2649,3636,5018,6540,8516,Columbia River
Okanagan,2024,SibRegSimple,Total,248656,5.833333333333333,162214,193028,238176,281332,313249,Columbia River
Okanagan,2024,SibRegLogPower,Age 3,20200,4,2450,5820,14795,46347,83724,Columbia River
Okanagan,2024,SibRegLogPower,Age 4,342590,1.6666666666666667,147381,217698,307616,438952,544591,Columbia River
Okanagan,2024,SibRegLogPower,Age 5,9007,1.5,3372,4836,8006,12466,17166,Columbia River
Okanagan,2024,SibRegLogPower,Total,371797,1.0833333333333333,241600,283728,345689,398902,453890,Columbia River
Okanagan,2024,SibRegKalman,Age 3,20200,4,2001,5972,17492,42074,94238,Columbia River
Okanagan,2024,SibRegKalman,Age 4,250355,2,59866,113948,250827,443196,657830,Columbia River
Okanagan,2024,SibRegKalman,Age 5,7739,2.8333333333333335,2280,3954,7118,11832,17880,Columbia River
Okanagan,2024,SibRegKalman,Total,278294,2.75,116326,175008,251833,340434,408141,Columbia River
Okanagan,2024,TimeSeriesArimaBC,Age 3,15254,4.916666666666667,2198,5426,13521,32362,65262,Columbia River
Okanagan,2024,TimeSeriesArimaBC,Age 4,170077,5.833333333333333,18952,47380,123347,297218,590712,Columbia River
