Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Okanagan,2024,TimeSeriesArimaBC,Age 5,8327,5.5,1614,3250,7126,15064,24543,Columbia River
Okanagan,2024,TimeSeriesArimaBC,Total,193658,5.75,51631,94211,166049,268332,374514,Columbia River
Okanagan,2024,TimeSeriesArimaNoBC,Age 3,16002,5.5,2014,4408,11895,29762,56471,Columbia River
Okanagan,2024,TimeSeriesArimaNoBC,Age 4,167380,5.083333333333333,35728,69681,143102,298232,463957,Columbia River
Okanagan,2024,TimeSeriesArimaNoBC,Age 5,10818,4.833333333333333,2331,4164,9165,16984,27934,Columbia River
Okanagan,2024,TimeSeriesArimaNoBC,Total,194200,5,77406,122102,181533,260226,343053,Columbia River
Okanagan,2024,TimeSeriesExpSmoothBC,Age 3,15730,5.083333333333333,1588,4419,11460,31682,62273,Columbia River
Okanagan,2024,TimeSeriesExpSmoothBC,Age 4,174308,7.083333333333333,20967,50896,125809,311181,719590,Columbia River
Okanagan,2024,TimeSeriesExpSmoothBC,Age 5,12015,7.333333333333333,1923,4268,10757,27166,52530,Columbia River
Okanagan,2024,TimeSeriesExpSmoothBC,Total,202054,7.5,55321,91968,172750,290523,443596,Columbia River
Okanagan,2024,TimeSeriesExpSmoothNoBC,Age 3,20065,7,1941,5450,16941,47092,89213,Columbia River
Okanagan,2024,TimeSeriesExpSmoothNoBC,Age 4,183686,6.333333333333333,24593,63093,155922,375351,687069,Columbia River
Okanagan,2024,TimeSeriesExpSmoothNoBC,Age 5,15900,7.666666666666667,2589,5928,14443,33696,66299,Columbia River
Okanagan,2024,TimeSeriesExpSmoothNoBC,Total,219651,4.416666666666667,61811,97432,187161,313016,432063,Columbia River
Okanagan,2025,Naive4,Age 3,19902,2.6666666666666665,1298,3746,12710,40110,83241,Columbia River
Okanagan,2025,Naive4,Age 4,308858,5.416666666666667,34846,84394,222606,584055,1065517,Columbia River
Okanagan,2025,Naive4,Age 5,11033,5.833333333333333,2309,4236,9720,20250,37082,Columbia River
Okanagan,2025,Naive4,Total,339793,5.833333333333333,88606,160280,298523,512535,739386,Columbia River
Okanagan,2025,Naive8,Age 3,15331,7.5,1458,4560,13001,33872,59708,Columbia River
Okanagan,2025,Naive8,Age 4,214445,5.166666666666667,26255,61112,146604,379266,694381,Columbia River
Okanagan,2025,Naive8,Age 5,9423,5.5,2025,3994,8555,16508,26906,Columbia River
Okanagan,2025,Naive8,Total,239199,3.9166666666666665,64791,116233,202241,337051,525061,Columbia River
Okanagan,2025,SibRegSimple,Age 3,16523,5,1957,5124,13190,32097,65302,Columbia River
Okanagan,2025,SibRegSimple,Age 4,91477,5,58650,73828,88241,105133,121855,Columbia River
Okanagan,2025,SibRegSimple,Age 5,21900,2.3333333333333335,10205,15276,21364,28767,36736,Columbia River
Okanagan,2025,SibRegSimple,Total,129900,5.083333333333333,88207,106683,127675,147539,164359,Columbia River
Okanagan,2025,SibRegLogPower,Age 3,16523,5,2516,6572,15126,34838,71711,Columbia River
Okanagan,2025,SibRegLogPower,Age 4,193808,1.6666666666666667,87612,122090,185572,251588,329105,Columbia River
Okanagan,2025,SibRegLogPower,Age 5,17557,2.3333333333333335,7284,11043,16571,24331,33806,Columbia River
Okanagan,2025,SibRegLogPower,Total,227888,1.1666666666666667,143406,176374,216390,257377,298667,Columbia River
Okanagan,2025,SibRegKalman,Age 3,16523,5,1576,4206,12420,35232,68500,Columbia River
Okanagan,2025,SibRegKalman,Age 4,164880,3,40067,67249,138385,269656,413742,Columbia River
Okanagan,2025,SibRegKalman,Age 5,18596,2.8333333333333335,6628,10212,16594,26745,40361,Columbia River
Okanagan,2025,SibRegKalman,Total,200000,2.8333333333333335,90601,127366,181860,265396,331551,Columbia River
Okanagan,2025,TimeSeriesArimaBC,Age 3,15428,4.083333333333333,2772,5865,13290,28648,56882,Columbia River
Okanagan,2025,TimeSeriesArimaBC,Age 4,187827,6,31404,68284,158955,389984,801791,Columbia River
Okanagan,2025,TimeSeriesArimaBC,Age 5,8560,4.666666666666667,2017,3628,7862,14596,23743,Columbia River
Okanagan,2025,TimeSeriesArimaBC,Total,211815,6.916666666666667,50957,97718,188180,326196,508401,Columbia River
Okanagan,2025,TimeSeriesArimaNoBC,Age 3,15778,4.666666666666667,2254,5358,14340,29714,51478,Columbia River
Okanagan,2025,TimeSeriesArimaNoBC,Age 4,191499,6.166666666666667,38567,69932,148924,288228,475529,Columbia River
Okanagan,2025,TimeSeriesArimaNoBC,Age 5,7977,5.166666666666667,1761,3710,7472,13930,22738,Columbia River
Okanagan,2025,TimeSeriesArimaNoBC,Total,215254,6.25,74404,123302,197721,304303,399559,Columbia River
Okanagan,2025,TimeSeriesExpSmoothBC,Age 3,15835,3.9166666666666665,2238,5462,14567,32680,58838,Columbia River
Okanagan,2025,TimeSeriesExpSmoothBC,Age 4,307501,7.75,38640,91756,254527,640422,1151641,Columbia River
Okanagan,2025,TimeSeriesExpSmoothBC,Age 5,11368,7.333333333333333,2243,3993,9355,21434,37562,Columbia River
Okanagan,2025,TimeSeriesExpSmoothBC,Total,334704,8.416666666666666,81909,153782,300132,511842,845308,Columbia River
Okanagan,2025,TimeSeriesExpSmoothNoBC,Age 3,17204,7.166666666666667,2140,5209,13675,37262,74409,Columbia River
Okanagan,2025,TimeSeriesExpSmoothNoBC,Age 4,225082,4.833333333333333,32456,78429,172679,434054,684347,Columbia River
Okanagan,2025,TimeSeriesExpSmoothNoBC,Age 5,11710,9,1839,4000,9839,21507,42810,Columbia River
Okanagan,2025,TimeSeriesExpSmoothNoBC,Total,253997,4.583333333333333,68822,125188,225369,380442,517601,Columbia River
Okanagan,2026,Naive4,Age 3,14147,5,1298,3130,9849,27640,53478,Columbia River
Okanagan,2026,Naive4,Age 4,312583,6.833333333333333,43635,98114,245026,538602,1014858,Columbia River
Okanagan,2026,Naive4,Age 5,11889,5.333333333333333,2785,4974,10738,18771,30181,Columbia River
Okanagan,2026,Naive4,Total,338619,6.833333333333333,80236,149753,301430,510328,742385,Columbia River
Okanagan,2026,Naive8,Age 3,14554,8.666666666666666,2385,5547,11986,25180,48930,Columbia River
Okanagan,2026,Naive8,Age 4,220928,4.916666666666667,28581,67502,175038,346260,555744,Columbia River
Okanagan,2026,Naive8,Age 5,9840,6.083333333333333,1940,3690,7785,15708,26074,Columbia River
Okanagan,2026,Naive8,Total,245322,4.833333333333333,67983,118036,215048,365829,527455,Columbia River
Okanagan,2026,SibRegSimple,Age 3,16654,4.333333333333333,2097,5670,14156,31798,57519,Columbia River
Okanagan,2026,SibRegSimple,Age 4,30219,4.333333333333333,17861,23009,29475,36466,44030,Columbia River
Okanagan,2026,SibRegSimple,Age 5,3051,2,1340,1942,2706,3802,4998,Columbia River
Okanagan,2026,SibRegSimple,Total,49923,5,27729,36683,48859,60315,69340,Columbia River
Okanagan,2026,SibRegLogPower,Age 3,16654,4.333333333333333,1952,5368,14631,31833,63378,Columbia River
Okanagan,2026,SibRegLogPower,Age 4,92710,1.8333333333333333,39995,60090,89332,126302,161664,Columbia River
Okanagan,2026,SibRegLogPower,Age 5,6904,1.8333333333333333,2938,4156,6351,9030,12630,Columbia River
Okanagan,2026,SibRegLogPower,Total,116268,1.8333333333333333,65282,83612,108173,136566,163039,Columbia River
Okanagan,2026,SibRegKalman,Age 3,16654,4.333333333333333,2423,5630,14541,33696,65307,Columbia River
Okanagan,2026,SibRegKalman,Age 4,117786,2.1666666666666665,28503,52571,103595,189173,296312,Columbia River
Okanagan,2026,SibRegKalman,Age 5,6295,2.5,2250,3494,5504,8702,12575,Columbia River
