System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Columbia River,Okanagan,Age 3,2026,4.333333333333333,SibRegKalman,16654,2423,5630,14541,33696,65307
Columbia River,Okanagan,Age 4,2021,1.6666666666666667,SibRegKalman,105863,14199,35587,87305,205622,391229
Columbia River,Okanagan,Age 4,2021,2.3333333333333335,SibRegLogPower,83464,29767,48726,77448,116920,155979
Columbia River,Okanagan,Age 4,2021,2.8333333333333335,Naive8,193700,21290,53246,150110,403382,891176
Columbia River,Okanagan,Age 4,2022,1.8333333333333333,SibRegKalman,217357,41097,86524,178184,361978,579760
Columbia River,Okanagan,Age 4,2022,2,SibRegLogPower,307769,129043,193858,294377,403126,531732
Columbia River,Okanagan,Age 4,2022,4.666666666666667,SibRegSimple,182376,108321,134466,173556,211238,257935
Columbia River,Okanagan,Age 4,2023,1,SibRegLogPower,202666,77940,122322,182527,267018,372947
Columbia River,Okanagan,Age 4,2023,2.1666666666666665,SibRegKalman,161009,30190,68086,147832,279341,464813
Columbia River,Okanagan,Age 4,2023,4.833333333333333,SibRegSimple,92103,57139,69203,86506,103688,120508
Columbia River,Okanagan,Age 4,2024,1.6666666666666667,SibRegLogPower,342590,147381,217698,307616,438952,544591
Columbia River,Okanagan,Age 4,2024,2,SibRegKalman,250355,59866,113948,250827,443196,657830
Columbia River,Okanagan,Age 4,2024,5,SibRegSimple,223218,139059,167277,203885,251952,304903
Columbia River,Okanagan,Age 4,2025,1.6666666666666667,SibRegLogPower,193808,87612,122090,185572,251588,329105
Columbia River,Okanagan,Age 4,2025,3,SibRegKalman,164880,40067,67249,138385,269656,413742
Columbia River,Okanagan,Age 4,2025,4.833333333333333,TimeSeriesExpSmoothNoBC,225082,32456,78429,172679,434054,684347
Columbia River,Okanagan,Age 4,2026,1.8333333333333333,SibRegLogPower,92710,39995,60090,89332,126302,161664
Columbia River,Okanagan,Age 4,2026,2.1666666666666665,SibRegKalman,117786,28503,52571,103595,189173,296312
Columbia River,Okanagan,Age 4,2026,4.333333333333333,SibRegSimple,30219,17861,23009,29475,36466,44030
Columbia River,Okanagan,Age 5,2021,1.3333333333333333,SibRegSimple,10769,9030,9832,10676,11684,12465
Columbia River,Okanagan,Age 5,2021,2.3333333333333335,SibRegLogPower,12282,3517,6564,11967,20995,32436
Columbia River,Okanagan,Age 5,2021,3.3333333333333335,SibRegKalman,10968,2603,4968,10335,19946,37576
Columbia River,Okanagan,Age 5,2022,1.1666666666666667,SibRegSimple,2683,1608,2056,2572,3244,3918
Columbia River,Okanagan,Age 5,2022,2.3333333333333335,SibRegLogPower,6273,1877,3534,5739,9464,12913
Columbia River,Okanagan,Age 5,2022,3.3333333333333335,SibRegKalman,5858,1313,2444,5312,10074,15298
Columbia River,Okanagan,Age 5,2023,1.3333333333333333,SibRegLogPower,16833,5838,9487,14966,25146,35730
Columbia River,Okanagan,Age 5,2023,2.6666666666666665,SibRegKalman,16737,3879,7784,14321,25462,36518
Columbia River,Okanagan,Age 5,2023,2.8333333333333335,SibRegSimple,20204,11875,15352,19808,23943,30391
Columbia River,Okanagan,Age 5,2024,1.5,SibRegLogPower,9007,3372,4836,8006,12466,17166
Columbia River,Okanagan,Age 5,2024,2.6666666666666665,SibRegSimple,5238,2649,3636,5018,6540,8516
Columbia River,Okanagan,Age 5,2024,2.8333333333333335,SibRegKalman,7739,2280,3954,7118,11832,17880
Columbia River,Okanagan,Age 5,2025,2.3333333333333335,SibRegSimple,21900,10205,15276,21364,28767,36736
Columbia River,Okanagan,Age 5,2025,2.3333333333333335,SibRegLogPower,17557,7284,11043,16571,24331,33806
Columbia River,Okanagan,Age 5,2025,2.8333333333333335,SibRegKalman,18596,6628,10212,16594,26745,40361
Columbia River,Okanagan,Age 5,2026,1.8333333333333333,SibRegLogPower,6904,2938,4156,6351,9030,12630
Columbia River,Okanagan,Age 5,2026,2,SibRegSimple,3051,1340,1942,2706,3802,4998
Columbia River,Okanagan,Age 5,2026,2.5,SibRegKalman,6295,2250,3494,5504,8702,12575
Columbia River,Okanagan,Total,2021,1.6666666666666667,SibRegKalman,125890,56286,82713,115363,156402,197321
Columbia River,Okanagan,Total,2021,2,Naive8,222447,69955,126136,210012,349862,522314
Columbia River,Okanagan,Total,2021,3.1666666666666665,SibRegLogPower,104805,99285,101474,103948,106305,108092
Columbia River,Okanagan,Total,2022,1.1666666666666667,SibRegKalman,237159,125767,165040,219304,291880,336765
Columbia River,Okanagan,Total,2022,2.5833333333333335,SibRegLogPower,327986,275492,295184,317885,342336,357453
Columbia River,Okanagan,Total,2022,4.666666666666667,TimeSeriesExpSmoothNoBC,181541,56920,105903,168580,242277,318652
Columbia River,Okanagan,Total,2023,1,SibRegLogPower,233921,156490,184146,224360,263777,295218
Columbia River,Okanagan,Total,2023,2.9166666666666665,SibRegKalman,192168,76184,119784,173285,240987,309097
Columbia River,Okanagan,Total,2023,4,Naive8,221527,61511,113876,190031,330414,496437
Columbia River,Okanagan,Total,2024,1.0833333333333333,SibRegLogPower,371797,241600,283728,345689,398902,453890
Columbia River,Okanagan,Total,2024,2.75,SibRegKalman,278294,116326,175008,251833,340434,408141
Columbia River,Okanagan,Total,2024,4.416666666666667,TimeSeriesExpSmoothNoBC,219651,61811,97432,187161,313016,432063
Columbia River,Okanagan,Total,2025,1.1666666666666667,SibRegLogPower,227888,143406,176374,216390,257377,298667
Columbia River,Okanagan,Total,2025,2.8333333333333335,SibRegKalman,200000,90601,127366,181860,265396,331551
Columbia River,Okanagan,Total,2025,3.9166666666666665,Naive8,239199,64791,116233,202241,337051,525061
Columbia River,Okanagan,Total,2026,1.8333333333333333,SibRegLogPower,116268,65282,83612,108173,136566,163039
Columbia River,Okanagan,Total,2026,2,SibRegKalman,140734,61268,89386,129250,193180,247480
Columbia River,Okanagan,Total,2026,4.833333333333333,Naive8,245322,67983,118036,215048,365829,527455
Columbia River,Wenatchee,Age 3,2021,2,TimeSeriesArimaNoBC,0,0,0,0,1,3
Columbia River,Wenatchee,Age 3,2021,3,SibRegSimple,8,0,2,6,19,39
Columbia River,Wenatchee,Age 3,2021,3.1666666666666665,SibRegLogPower,8,0,1,6,19,38
Columbia River,Wenatchee,Age 3,2022,1.6666666666666667,TimeSeriesArimaNoBC,0,0,0,0,1,2
Columbia River,Wenatchee,Age 3,2022,3.3333333333333335,SibRegSimple,8,-0,2,6,17,33
Columbia River,Wenatchee,Age 3,2022,3.3333333333333335,SibRegLogPower,8,0,2,6,16,30
Columbia River,Wenatchee,Age 3,2022,3.3333333333333335,SibRegKalman,8,-0,1,6,17,32
Columbia River,Wenatchee,Age 3,2023,1.6666666666666667,TimeSeriesArimaNoBC,0,-0,-0,0,1,3
Columbia River,Wenatchee,Age 3,2023,2.5,TimeSeriesArimaBC,7,1,2,5,12,23
Columbia River,Wenatchee,Age 3,2023,4.166666666666667,SibRegSimple,8,-0,2,6,14,25
Columbia River,Wenatchee,Age 3,2023,4.166666666666667,SibRegLogPower,8,-0,2,6,16,31
Columbia River,Wenatchee,Age 3,2023,4.166666666666667,SibRegKalman,8,0,2,7,16,29
Columbia River,Wenatchee,Age 3,2024,3.1666666666666665,TimeSeriesArimaNoBC,0,0,0,0,1,5
Columbia River,Wenatchee,Age 3,2024,3.75,SibRegSimple,68,1,8,47,216,648
Columbia River,Wenatchee,Age 3,2024,3.75,SibRegLogPower,68,2,11,65,244,813
Columbia River,Wenatchee,Age 3,2024,3.75,SibRegKalman,68,1,9,56,267,851
Columbia River,Wenatchee,Age 3,2025,2.9166666666666665,TimeSeriesArimaBC,9,-0,1,6,24,59
Columbia River,Wenatchee,Age 3,2025,3,TimeSeriesArimaNoBC,0,0,0,0,2,6
Columbia River,Wenatchee,Age 3,2025,3.0833333333333335,TimeSeriesExpSmoothBC,9,0,1,6,19,57
Columbia River,Wenatchee,Age 3,2026,2.5,TimeSeriesArimaNoBC,0,-0,-0,-0,1,4
Columbia River,Wenatchee,Age 3,2026,2.9166666666666665,TimeSeriesArimaBC,8,0,1,5,23,54
Columbia River,Wenatchee,Age 3,2026,3.0833333333333335,TimeSeriesExpSmoothBC,9,-0,1,6,24,59
Columbia River,Wenatchee,Age 4,2021,1.1666666666666667,Naive8,53308,6144,15225,41280,106570,184112
Columbia River,Wenatchee,Age 4,2021,2.5,SibRegKalman,32702,2590,8346,30016,85359,160609
Columbia River,Wenatchee,Age 4,2021,3.5,Naive4,21564,1273,3820,15443,54536,109300
Columbia River,Wenatchee,Age 4,2022,1.6666666666666667,SibRegKalman,32738,4195,10926,32142,71942,125405
Columbia River,Wenatchee,Age 4,2022,2.3333333333333335,TimeSeriesExpSmoothNoBC,41686,3919,10503,30227,92561,167614
Columbia River,Wenatchee,Age 4,2022,3.1666666666666665,Naive8,52866,6451,16440,44615,104310,197670
Columbia River,Wenatchee,Age 4,2023,1.3333333333333333,Naive8,57366,5573,15892,53775,125937,257342
Columbia River,Wenatchee,Age 4,2023,2.9166666666666665,TimeSeriesExpSmoothNoBC,62065,3752,12360,47729,156094,352361
Columbia River,Wenatchee,Age 4,2023,3.4166666666666665,SibRegKalman,38824,3093,9103,31132,90006,183559
Columbia River,Wenatchee,Age 4,2024,1.75,Naive8,53718,5795,14608,47377,108892,233532
Columbia River,Wenatchee,Age 4,2024,2.5833333333333335,TimeSeriesExpSmoothBC,117289,14504,36478,96335,225582,533309
Columbia River,Wenatchee,Age 4,2024,3.3333333333333335,TimeSeriesExpSmoothNoBC,75335,7069,21605,63168,162792,335340
Columbia River,Wenatchee,Age 4,2025,1.6666666666666667,TimeSeriesExpSmoothBC,158443,20475,53612,116191,242000,526120
Columbia River,Wenatchee,Age 4,2025,2.5833333333333335,SibRegLogPower,51721,7579,19152,46372,99676,193642
Columbia River,Wenatchee,Age 4,2025,3.1666666666666665,TimeSeriesExpSmoothNoBC,94490,9862,27949,76650,206466,401708
Columbia River,Wenatchee,Age 4,2026,1.4166666666666667,SibRegLogPower,52620,8104,18361,42394,102892,171435
Columbia River,Wenatchee,Age 4,2026,2.8333333333333335,Naive8,69833,9195,21977,55380,123379,229775
Columbia River,Wenatchee,Age 4,2026,3.5,TimeSeriesExpSmoothNoBC,81729,10618,23892,64532,179611,300861
Columbia River,Wenatchee,Age 5,2021,1.3333333333333333,SibRegSimple,10989,2371,4806,9405,18202,28522
Columbia River,Wenatchee,Age 5,2021,2.5,SibRegKalman,11614,916,2701,9430,23204,53208
Columbia River,Wenatchee,Age 5,2021,3.1666666666666665,SibRegLogPower,14386,1319,3296,11130,29104,68126
Columbia River,Wenatchee,Age 5,2022,1,SibRegSimple,6481,1759,3210,5343,9480,13931
Columbia River,Wenatchee,Age 5,2022,2.3333333333333335,SibRegKalman,7581,1040,2762,6974,16760,29537
Columbia River,Wenatchee,Age 5,2022,3.5,SibRegLogPower,10574,1400,3202,8912,22446,42562
Columbia River,Wenatchee,Age 5,2023,1,SibRegSimple,27295,8093,14070,24569,38488,54332
Columbia River,Wenatchee,Age 5,2023,2.1666666666666665,SibRegKalman,25780,4944,10072,22696,49044,88688
Columbia River,Wenatchee,Age 5,2023,3.8333333333333335,TimeSeriesArimaBC,8440,705,2054,6632,20290,45024
Columbia River,Wenatchee,Age 5,2024,1.3333333333333333,SibRegSimple,23275,9701,13188,21440,31253,41927
Columbia River,Wenatchee,Age 5,2024,2,SibRegKalman,23216,3869,7874,17588,38297,69757
Columbia River,Wenatchee,Age 5,2024,2.6666666666666665,SibRegLogPower,21866,3516,7548,17400,41532,72126
Columbia River,Wenatchee,Age 5,2025,1.3333333333333333,SibRegSimple,35004,14030,19586,32131,45757,59159
Columbia River,Wenatchee,Age 5,2025,2,SibRegKalman,34414,7160,14030,30282,64402,110888
Columbia River,Wenatchee,Age 5,2025,2.6666666666666665,SibRegLogPower,28499,4156,10240,24387,52914,94827
Columbia River,Wenatchee,Age 5,2026,1.3333333333333333,SibRegSimple,8659,3462,5422,8224,11592,15456
Columbia River,Wenatchee,Age 5,2026,2.3333333333333335,SibRegLogPower,13037,2607,5400,11237,22782,37309
Columbia River,Wenatchee,Age 5,2026,2.3333333333333335,SibRegKalman,9786,2251,4484,9275,17114,29245
Columbia River,Wenatchee,Total,2021,2,Naive8,64669,15742,27374,54614,102064,150438
Columbia River,Wenatchee,Total,2021,2.3333333333333335,TimeSeriesExpSmoothNoBC,40919,5240,14899,36644,76306,138649
Columbia River,Wenatchee,Total,2021,3.3333333333333335,SibRegKalman,44324,9965,19754,39205,70778,113307
Columbia River,Wenatchee,Total,2022,1.4166666666666667,TimeSeriesExpSmoothNoBC,49497,7842,16974,40995,79851,131529
Columbia River,Wenatchee,Total,2022,2.25,SibRegKalman,40327,9549,18242,33655,58854,102195
Columbia River,Wenatchee,Total,2022,3.6666666666666665,Naive4,31027,6090,12546,27151,57576,102173
Columbia River,Wenatchee,Total,2023,1.8333333333333333,Naive8,68395,12250,25378,53286,112613,183915
Columbia River,Wenatchee,Total,2023,2.1666666666666665,TimeSeriesExpSmoothNoBC,69878,9726,23692,53609,136297,251539
Columbia River,Wenatchee,Total,2023,3.8333333333333335,SibRegKalman,64612,10393,25683,52707,115902,195293
Columbia River,Wenatchee,Total,2024,2.1666666666666665,TimeSeriesExpSmoothBC,127357,23125,48212,95297,204920,322732
Columbia River,Wenatchee,Total,2024,2.6666666666666665,Naive8,68372,12330,25408,52461,114336,197678
Columbia River,Wenatchee,Total,2024,3.1666666666666665,TimeSeriesExpSmoothNoBC,92467,13287,32478,74928,185370,343276
Columbia River,Wenatchee,Total,2025,1.75,TimeSeriesExpSmoothBC,168827,33004,66088,139940,271794,445965
Columbia River,Wenatchee,Total,2025,2.8333333333333335,SibRegLogPower,80281,15291,33584,64612,121859,180735
Columbia River,Wenatchee,Total,2025,3.0833333333333335,TimeSeriesExpSmoothNoBC,112551,17225,40031,94404,206636,362491
Columbia River,Wenatchee,Total,2026,1.8333333333333333,SibRegLogPower,65717,16545,29942,58349,104005,174946
Columbia River,Wenatchee,Total,2026,3.1666666666666665,Naive8,82928,17667,35240,70778,131074,230406
Columbia River,Wenatchee,Total,2026,3.1666666666666665,TimeSeriesExpSmoothBC,130951,26285,56284,109308,204039,341967
